INFO 2024-05-27 13:20:34,635 basehttp 20512 18672 "GET /admin_dashboard/ HTTP/1.1" 200 29466
INFO 2024-05-27 13:20:34,684 views 20512 18672 Project data retrieved
INFO 2024-05-27 13:20:34,685 basehttp 20512 18672 "GET /api/projects/ HTTP/1.1" 200 835
INFO 2024-05-27 13:20:34,686 views 20512 14072 Employee data retrieved
INFO 2024-05-27 13:20:34,687 basehttp 20512 14072 "GET /api/employees/ HTTP/1.1" 200 1325
INFO 2024-05-27 13:20:36,320 views 20512 14072 Employee data retrieved
INFO 2024-05-27 13:20:36,320 basehttp 20512 14072 "GET /api/employees/ HTTP/1.1" 200 1325
INFO 2024-05-27 13:21:50,752 views 20512 14072 Project form submitted and saved successfully
INFO 2024-05-27 13:21:50,753 basehttp 20512 14072 "POST /admin_dashboard/ HTTP/1.1" 302 0
INFO 2024-05-27 13:21:50,776 basehttp 20512 14072 "GET /admin_dashboard/ HTTP/1.1" 200 29466
INFO 2024-05-27 13:21:50,809 views 20512 14072 Project data retrieved
INFO 2024-05-27 13:21:50,811 basehttp 20512 14072 "GET /api/projects/ HTTP/1.1" 200 1434
INFO 2024-05-27 13:21:50,812 views 20512 18672 Employee data retrieved
INFO 2024-05-27 13:21:50,813 basehttp 20512 18672 "GET /api/employees/ HTTP/1.1" 200 1325
INFO 2024-05-27 13:21:51,743 views 20512 18672 Employee data retrieved
INFO 2024-05-27 13:21:51,743 basehttp 20512 18672 "GET /api/employees/ HTTP/1.1" 200 1325
INFO 2024-05-27 13:21:53,943 views 20512 18672 Project data retrieved
INFO 2024-05-27 13:21:53,943 basehttp 20512 18672 "GET /api/projects/ HTTP/1.1" 200 1434
INFO 2024-05-27 13:22:26,309 views 20512 18672 Employee data retrieved
INFO 2024-05-27 13:22:26,313 basehttp 20512 18672 "GET /api/employees/ HTTP/1.1" 200 1325
INFO 2024-05-27 13:22:32,246 views 20512 18672 Project data retrieved
INFO 2024-05-27 13:22:32,246 basehttp 20512 18672 "GET /api/projects/ HTTP/1.1" 200 1434
INFO 2024-05-27 13:22:33,381 views 20512 18672 Employee data retrieved
INFO 2024-05-27 13:22:33,381 basehttp 20512 18672 "GET /api/employees/ HTTP/1.1" 200 1325
INFO 2024-05-27 13:22:37,563 views 20512 18672 Project 3 assigned to employee 22 successfully
INFO 2024-05-27 13:22:37,563 basehttp 20512 18672 "POST /assign_project/ HTTP/1.1" 200 74
